数据库：分省年度数据 
时间：2019年 
地区	,地区生产总值 (亿元) 	,第一产业增加值 (亿元) 	,第二产业增加值 (亿元) 	,第三产业增加值 (亿元) 	,农林牧渔业增加值 (亿元) 	,工业增加值 (亿元) 	,建筑业增加值 (亿元) 	,批发和零售业增加值 (亿元) 	,交通运输、仓储和邮政业增加值 (亿元) 	,住宿和餐饮业增加值 (亿元) 	,金融业增加值 (亿元) 	,房地产业增加值 (亿元) 	,其他行业增加值 (亿元) 	,人均地区生产总值 (元/人) 	,
北京市	,37767.0	,114.4	,5812.9	,31839.7	,116.9	,4402.8	,1460.3	,2876.0	,1024.7	,542.8	,6373.1	,4591.5	,16379.0	,172373	,
天津市	,14097.2	,185.4	,5016.9	,8894.9	,191.8	,4456.8	,673.6	,1365.6	,758.5	,178.0	,1939.9	,1113.9	,3419.1	,101858	,
河北省	,35623.5	,3518.4	,13600.9	,18504.2	,3727.5	,11474.3	,2164.2	,2949.8	,2904.6	,403.7	,2434.1	,2528.1	,7037.2	,47904	,
山西省	,17311.0	,825.3	,7402.9	,9082.7	,875.5	,6481.9	,934.6	,1377.2	,1047.9	,220.9	,1133.4	,1173.0	,4066.6	,49467	,
内蒙古自治区	,17479.4	,1863.3	,6774.0	,8842.2	,1893.5	,5486.7	,1287.3	,1496.3	,1209.7	,365.1	,847.0	,930.8	,3963.1	,72274	,
辽宁省	,25665.9	,2178.0	,9510.3	,13977.6	,2266.9	,8058.0	,1508.4	,2254.8	,1317.8	,342.7	,1836.2	,2003.7	,6077.5	,59911	,
吉林省	,11949.4	,1287.3	,4162.0	,6500.1	,1333.4	,3375.2	,809.3	,765.2	,607.1	,202.3	,781.3	,875.8	,3199.7	,48456	,
黑龙江省	,13962.5	,3183.2	,3668.0	,7111.3	,3268.2	,3355.1	,433.3	,1006.5	,550.6	,233.8	,922.2	,983.0	,3209.9	,42426	,
上海市	,40241.2	,107.1	,10317.1	,29817.1	,113.3	,9683.4	,725.3	,5295.9	,1548.2	,483.6	,6393.1	,5039.9	,10958.4	,162394	,
江苏省	,99836.9	,4297.2	,44281.4	,51258.3	,4611.9	,37537.5	,6794.5	,10884.7	,3316.4	,1584.8	,7084.1	,7893.8	,20129.3	,118045	,
浙江省	,64632.0	,2086.7	,26643.3	,35902.0	,2135.9	,22736.6	,3963.2	,7419.7	,1968.2	,1104.6	,4909.7	,6022.3	,14371.8	,102201	,
安徽省	,37584.8	,2915.9	,14895.9	,19773.0	,3069.2	,11060.4	,3860.0	,3410.6	,2106.0	,755.0	,2367.0	,3165.0	,7791.6	,61776	,
福建省	,42479.1	,2595.5	,19578.6	,20305.0	,2691.1	,15214.7	,4431.8	,4499.7	,1429.5	,669.6	,2856.7	,3167.5	,7518.5	,103092	,
江西省	,24724.0	,2057.7	,10385.3	,12281.0	,2135.8	,8355.3	,2038.1	,2127.8	,1098.8	,458.9	,1571.3	,2074.2	,4863.6	,54766	,
山东省	,72024.3	,5116.9	,28464.9	,38442.5	,5477.1	,22924.8	,5661.0	,9588.1	,3540.1	,1178.7	,4057.9	,5092.3	,14504.3	,71371	,
河南省	,53739.3	,4635.7	,22185.5	,26918.2	,4860.7	,17278.9	,4994.2	,4094.0	,2858.5	,1185.9	,2750.2	,4101.7	,11615.2	,54378	,
湖北省	,45557.0	,3809.4	,18397.1	,23350.6	,4014.3	,15376.0	,3084.3	,3467.2	,2245.5	,1256.7	,2631.5	,3766.3	,9715.1	,76928	,
湖南省	,39930.7	,3647.2	,14974.8	,21308.8	,3850.5	,11601.7	,3384.7	,4043.9	,1648.3	,931.9	,1928.5	,2940.4	,9600.9	,60159	,
广东省	,110468.1	,4350.6	,43528.6	,62588.8	,4478.3	,39222.0	,4415.0	,11005.3	,3614.2	,1930.5	,8751.2	,11453.5	,25598.0	,88954	,
广西壮族自治区	,21341.5	,3389.7	,6870.3	,11081.5	,3493.9	,5218.0	,1666.8	,1778.1	,880.6	,375.7	,1399.4	,1970.7	,4558.3	,42988	,
海南省	,5442.1	,1079.0	,1095.6	,3267.6	,1118.0	,609.0	,491.1	,509.8	,240.5	,252.1	,389.9	,613.7	,1218.1	,55054	,
重庆市	,23689.6	,1551.6	,9059.8	,13078.2	,1581.3	,6467.1	,2592.7	,2231.3	,1011.5	,518.1	,2019.2	,1728.9	,5539.5	,74601	,
四川省	,47168.6	,4807.5	,17202.7	,25158.5	,4938.0	,13278.1	,4045.1	,4286.2	,1552.2	,1168.7	,3087.0	,3744.5	,11068.8	,56584	,
贵州省	,17251.8	,2280.5	,5836.6	,9134.6	,2408.0	,4392.5	,1448.8	,1338.9	,700.8	,419.7	,986.9	,1129.8	,4426.4	,44985	,
云南省	,23902.1	,3037.7	,8152.1	,12712.3	,3096.2	,5462.8	,2694.3	,2397.1	,1055.8	,589.7	,1370.8	,1810.9	,5424.5	,50764	,
西藏自治区	,1750.3	,138.2	,638.8	,973.4	,142.1	,141.0	,497.8	,109.0	,50.1	,44.4	,124.2	,70.2	,571.5	,48961	,
陕西省	,26214.5	,1991.1	,11590.2	,12633.2	,2098.2	,9311.7	,2401.0	,1960.2	,1112.5	,452.0	,1648.3	,1668.2	,5562.4	,66577	,
甘肃省	,9053.3	,1059.3	,2914.2	,5079.8	,1097.2	,2327.7	,597.5	,647.0	,432.6	,162.2	,848.1	,683.7	,2257.5	,36040	,
青海省	,3020.2	,304.8	,1172.0	,1543.4	,306.0	,839.9	,332.0	,161.4	,116.9	,50.7	,261.7	,177.1	,774.4	,51321	,
宁夏回族自治区	,3841.5	,280.0	,1588.0	,1973.6	,297.7	,1275.2	,314.4	,215.2	,172.5	,55.9	,293.2	,217.4	,1000.0	,53841	,
新疆维吾尔自治区	,14024.9	,1781.7	,4824.9	,7418.3	,1888.4	,3855.0	,1056.9	,784.7	,765.6	,184.1	,982.1	,777.0	,3731.2	,55227	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
