数据库：分省年度数据 
时间：2021年 
地区	,地区生产总值 (亿元) 	,第一产业增加值 (亿元) 	,第二产业增加值 (亿元) 	,第三产业增加值 (亿元) 	,农林牧渔业增加值 (亿元) 	,工业增加值 (亿元) 	,建筑业增加值 (亿元) 	,批发和零售业增加值 (亿元) 	,交通运输、仓储和邮政业增加值 (亿元) 	,住宿和餐饮业增加值 (亿元) 	,金融业增加值 (亿元) 	,房地产业增加值 (亿元) 	,其他行业增加值 (亿元) 	,人均地区生产总值 (元/人) 	,
北京市	,44350.7	,111.4	,7732.2	,36507.1	,113.4	,6356.3	,1467.6	,3153.1	,953.2	,434.7	,7310.9	,4920.6	,19640.9	,202607	,
天津市	,16093.2	,265.9	,5780.5	,10046.8	,276.0	,5235.6	,653.0	,1447.2	,828.7	,161.1	,2283.3	,1095.9	,4112.3	,116618	,
河北省	,41205.4	,4029.3	,16450.8	,20725.3	,4288.3	,14216.8	,2287.2	,3306.6	,3188.0	,416.4	,2847.4	,2596.2	,8058.6	,55265	,
山西省	,23087.8	,1286.7	,10892.5	,10908.6	,1357.5	,9790.4	,1139.1	,1668.7	,1284.2	,263.0	,1291.2	,1255.3	,5038.4	,66249	,
内蒙古自治区	,21584.8	,2354.6	,9646.5	,9583.6	,2388.6	,8360.0	,1318.5	,1691.9	,1291.6	,345.4	,845.0	,967.4	,4376.3	,89880	,
辽宁省	,28471.0	,2462.1	,10664.9	,15344.0	,2548.1	,9129.7	,1625.0	,2524.1	,1367.0	,397.6	,1704.1	,2041.9	,7133.5	,67117	,
吉林省	,13431.1	,1554.0	,4713.7	,7163.4	,1604.9	,3830.3	,918.9	,846.9	,772.2	,221.0	,814.2	,875.0	,3547.8	,56268	,
黑龙江省	,15292.8	,3463.9	,4082.3	,7746.6	,3558.6	,3734.9	,474.5	,1245.4	,701.3	,217.5	,924.9	,952.4	,3483.4	,48579	,
上海市	,47059.4	,96.0	,11425.4	,35538.0	,105.8	,10767.0	,770.4	,6465.1	,1776.0	,478.1	,7624.6	,5464.3	,13608.1	,189107	,
江苏省	,119853.2	,4719.1	,53575.8	,61558.4	,5076.1	,45379.9	,8264.4	,13254.8	,4369.1	,1812.1	,7953.1	,9190.3	,24553.4	,141153	,
浙江省	,76765.3	,2211.9	,31370.7	,43182.7	,2278.1	,26972.1	,4471.7	,8951.1	,2358.2	,1237.0	,6167.1	,6840.5	,17489.5	,118028	,
安徽省	,43102.8	,3363.9	,16925.5	,22813.5	,3548.7	,12335.4	,4626.4	,4118.9	,2319.5	,872.6	,2659.0	,3290.4	,9332.0	,70556	,
福建省	,49602.6	,2900.0	,22434.5	,24268.2	,3008.6	,17543.0	,4963.2	,5892.0	,1629.2	,739.2	,3014.7	,3288.8	,9524.0	,118837	,
江西省	,29838.2	,2334.0	,12559.3	,14945.0	,2439.1	,10237.2	,2337.5	,2643.9	,1198.0	,554.8	,1977.7	,2234.4	,6215.6	,66043	,
山东省	,84838.0	,6026.9	,34084.0	,44727.1	,6452.5	,27637.5	,6595.3	,11608.5	,3981.7	,1292.1	,4492.3	,5366.1	,17411.9	,83440	,
河南省	,57806.9	,5626.1	,22571.0	,29609.7	,5918.2	,17353.6	,5318.6	,4666.3	,2818.9	,1193.7	,3053.2	,4277.8	,13206.5	,58320	,
