数据库：分省年度数据 
时间：2020年 
地区	,地区生产总值 (亿元) 	,第一产业增加值 (亿元) 	,第二产业增加值 (亿元) 	,第三产业增加值 (亿元) 	,农林牧渔业增加值 (亿元) 	,工业增加值 (亿元) 	,建筑业增加值 (亿元) 	,批发和零售业增加值 (亿元) 	,交通运输、仓储和邮政业增加值 (亿元) 	,住宿和餐饮业增加值 (亿元) 	,金融业增加值 (亿元) 	,房地产业增加值 (亿元) 	,其他行业增加值 (亿元) 	,人均地区生产总值 (元/人) 	,
北京市	,38503.6	,108.3	,5899.8	,32495.5	,110.7	,4519.0	,1455.4	,2857.5	,875.4	,364.6	,6804.1	,4461.0	,17056.0	,175856	,
天津市	,14230.8	,210.3	,4966.6	,9053.8	,218.3	,4395.9	,656.5	,1317.5	,745.7	,137.7	,2150.6	,1010.6	,3597.9	,102675	,
河北省	,36821.5	,3880.4	,13938.0	,19003.1	,4113.2	,11813.5	,2166.9	,2983.5	,2831.8	,350.0	,2605.8	,2584.7	,7372.0	,49388	,
山西省	,18202.7	,1166.6	,7440.2	,9595.9	,1232.0	,6458.8	,1005.3	,1380.2	,1093.1	,202.2	,1192.2	,1211.1	,4427.9	,52105	,
内蒙古自治区	,17623.4	,2028.8	,6789.7	,8804.9	,2060.0	,5567.1	,1244.0	,1454.7	,1157.8	,296.8	,800.9	,955.9	,4086.1	,73156	,
辽宁省	,25839.0	,2284.8	,9294.3	,14259.9	,2370.3	,7812.3	,1547.3	,2204.5	,1228.8	,310.9	,1799.4	,2061.8	,6503.7	,60570	,
吉林省	,12499.5	,1553.0	,4337.3	,6609.1	,1600.6	,3540.0	,817.4	,750.6	,655.0	,175.6	,762.9	,892.0	,3305.3	,51576	,
黑龙江省	,14000.1	,3445.1	,3454.7	,7100.3	,3534.6	,3113.0	,430.4	,1007.3	,599.2	,178.2	,939.3	,972.2	,3226.0	,43573	,
上海市	,41603.9	,107.7	,10356.7	,31139.5	,116.7	,9740.2	,714.1	,5540.5	,1387.6	,388.1	,6973.4	,5097.6	,11645.7	,167454	,
江苏省	,104566.6	,4537.6	,45391.4	,54637.6	,4868.5	,38173.3	,7277.9	,11307.2	,3702.2	,1583.1	,7457.9	,8613.4	,21583.0	,123411	,
