数据库：分省年度数据 
时间：2023年 
地区	,地区生产总值 (亿元) 	,第一产业增加值 (亿元) 	,第二产业增加值 (亿元) 	,第三产业增加值 (亿元) 	,农林牧渔业增加值 (亿元) 	,工业增加值 (亿元) 	,建筑业增加值 (亿元) 	,批发和零售业增加值 (亿元) 	,交通运输、仓储和邮政业增加值 (亿元) 	,住宿和餐饮业增加值 (亿元) 	,金融业增加值 (亿元) 	,房地产业增加值 (亿元) 	,其他行业增加值 (亿元) 	,人均地区生产总值 (元/人) 	,
北京市	,47353.7	,115.1	,6893.8	,40344.8	,116.5	,5647.8	,1341.3	,3128.8	,1122.4	,451.0	,7593.7	,4895.6	,23056.6	,216722	,
天津市	,17211.8	,270.5	,6080.6	,10860.8	,281.7	,5618.7	,589.1	,1467.4	,907.7	,194.0	,2393.3	,1081.9	,4677.9	,126232	,
河北省	,45660.0	,4463.0	,17112.2	,24084.8	,4788.5	,14609.5	,2557.0	,3924.6	,3501.2	,481.2	,3110.9	,2682.3	,10004.9	,61649	,
山西省	,26050.8	,1365.2	,11940.1	,12745.5	,1447.0	,10800.0	,1190.6	,1807.0	,1470.4	,335.4	,1391.1	,1337.3	,6271.9	,74999	,
内蒙古自治区	,25020.5	,2644.2	,11130.4	,11245.8	,2712.1	,9658.4	,1505.0	,1941.6	,1538.3	,376.7	,909.7	,1046.9	,5331.7	,104317	,
辽宁省	,31389.8	,2642.2	,11104.8	,17642.9	,2736.2	,9615.0	,1606.9	,3021.3	,1581.9	,534.5	,1493.4	,2092.3	,8708.3	,74925	,
吉林省	,13942.7	,1644.9	,4426.9	,7871.0	,1702.1	,3652.0	,813.5	,927.3	,898.6	,236.6	,817.1	,922.3	,3973.1	,59495	,
黑龙江省	,16470.7	,3542.1	,4205.4	,8723.3	,3651.3	,3903.2	,468.4	,1395.1	,1023.8	,252.3	,855.4	,979.6	,3941.7	,53468	,
上海市	,51404.5	,100.7	,11542.9	,39760.9	,107.2	,10853.5	,833.6	,6662.8	,1721.9	,526.7	,7532.0	,5733.6	,17433.1	,207193	,
江苏省	,130924.3	,5075.9	,57329.8	,68518.6	,5541.5	,47642.7	,9806.5	,14550.1	,4897.7	,2148.1	,8565.3	,8676.8	,29095.5	,153658	,
浙江省	,85619.6	,2463.0	,33586.1	,49570.6	,2541.4	,28844.1	,4851.2	,10712.4	,2684.4	,1618.5	,7123.5	,6892.6	,20351.5	,129687	,
安徽省	,48227.5	,3494.8	,18734.9	,25997.8	,3731.2	,13493.1	,5278.5	,4888.4	,2848.0	,1088.0	,2867.4	,2927.6	,11105.3	,78752	,
福建省	,54801.7	,3220.1	,23502.8	,28078.8	,3343.8	,18264.6	,5304.4	,7340.7	,1734.2	,903.1	,3110.9	,2941.2	,11858.9	,130932	,
江西省	,32677.1	,2436.4	,13115.7	,17125.0	,2580.3	,10695.6	,2433.2	,3206.9	,1355.0	,666.1	,2051.0	,2012.5	,7676.7	,72271	,
山东省	,94206.4	,6500.6	,38055.9	,49649.9	,7034.3	,30586.7	,7658.1	,13022.1	,4256.0	,1518.4	,4667.3	,5456.1	,20007.4	,92878	,
