province,score,rank
广东省,100.0,1
江苏省,96.29,2
上海市,93.7,3
浙江省,91.62,4
北京市,88.95,5
山东省,68.16,6
福建省,55.91,7
四川省,53.59,8
湖北省,49.19,9
安徽省,43.62,10
湖南省,41.52,11
河南省,40.88,12
辽宁省,37.74,13
陕西省,36.28,14
重庆市,34.81,15
天津市,32.32,16
江西省,26.47,17
山西省,23.6,18
河北省,22.46,19
新疆维吾尔自治区,20.5,20
吉林省,19.21,21
广西壮族自治区,17.61,22
云南省,17.55,23
海南省,16.77,24
贵州省,16.47,25
内蒙古自治区,16.28,26
西藏自治区,12.51,27
黑龙江省,3.88,28
甘肃省,3.76,29
宁夏回族自治区,1.37,30
青海省,0.0,31
