province,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,47353.7,5.200000000000003,115.1,6893.8,40344.799999999996,0.24306442791165211,14.558102112400933,85.19883345968742,14462.7,81752.0,47586.0,100.4,3.0485186775440103,3.0,6181.1
天津市,17211.8,4.299999999999997,270.5,6080.6,10860.699999999999,1.5715962304930338,35.328088869264114,63.10031490024285,3820.7,51271.0,34914.0,100.4,6.314547064030688,4.9,2027.51
河北省,45660.0,5.5,4463.0,17112.2,24084.8,9.774419623302672,37.477441962330275,52.74813841436706,15040.5,32903.0,22920.0,100.6,0.1653348029760264,-16.4,4286.6
山西省,26050.8,5.0,1365.2,11940.1,12745.499999999998,5.240530041303914,45.83390913138945,48.92556082730664,7981.8,30924.0,19756.0,99.9,1.525658807212205,6.3,3479.37
内蒙古自治区,25020.5,7.299999999999997,2644.2,11130.4,11245.9,10.568134130013389,44.485122199796166,44.94674367019044,5374.3,38130.0,27025.0,100.6,2.117685095376657,-6.6,3083.64
辽宁省,31389.8,5.299999999999997,2642.2,11104.8,17642.8,8.41738399097796,35.3770970187768,56.20551899024524,10362.1,37992.0,24865.0,100.1,2.6037542503144064,19.8,2755.29
吉林省,13942.7,6.299999999999997,1644.9,4426.9,7870.9000000000015,11.79757148902293,31.75066522266132,56.45176328831576,4150.4,29797.0,21411.0,99.9,2.0264612292748283,4.0,1074.84
黑龙江省,16470.7,2.5999999999999943,3542.1,4205.4,8723.2,21.505461212941768,25.532612457272606,52.961926329785626,5634.2,29694.0,22052.0,100.6,1.1318491867176377,0.3,1396.15
上海市,51404.5,5.0,100.7,11542.9,39760.9,0.19589724635002775,22.45503798305596,77.34906477059401,18515.5,84834.0,52508.0,100.3,5.368324773095054,-14.8,8312.5
江苏省,130924.3,5.799999999999997,5075.9,57329.8,68518.6,3.876973182212927,43.788509848821036,52.334516968966035,45547.5,52674.0,35491.0,100.4,1.3191428629681736,13.8,9930.18
浙江省,85619.6,6.0,2463.0,33586.1,49570.50000000001,2.8766777700433077,39.227116221052185,57.89620600890451,32550.2,63830.0,42194.0,100.3,1.189456176604002,5.2,8600.51
安徽省,48227.5,5.799999999999997,3494.8,18734.9,25997.799999999996,7.246487999585299,38.84692343579908,53.90658856461561,23008.3,34893.0,23607.0,100.2,0.5175208878912583,6.1,3939.16
福建省,54801.7,4.5,3220.1,23502.8,28078.8,5.875912608550465,42.88699073203934,51.2370966594102,22109.6,45426.0,31869.0,100.0,1.1321095124261424,4.0,3592.04
江西省,32677.1,4.099999999999994,2436.4,13115.7,17124.999999999996,7.455985996309343,40.13728268420393,52.406731319486724,13659.8,34242.0,23379.0,100.3,1.609702315325248,2.5,3059.59
山东省,94206.4,6.0,6500.6,38055.9,49649.89999999999,6.900380441243908,40.39630003906316,52.70331951969291,36141.8,39890.0,24293.0,100.1,0.6126112787103699,-5.9,7464.78
河南省,60627.7,4.099999999999994,5353.0,23097.7,32176.999999999996,8.829297499327865,38.09760225111624,53.07310024955589,26004.4,29933.0,21011.0,99.8,1.344558420859046,5.2,4518.1
湖北省,56794.3,6.0,5068.2,20750.3,30975.800000000007,8.92378284440516,36.535884763083615,54.540332392511225,24041.9,35146.0,27106.0,100.1,1.295234628567962,2.1,3692.79
湖南省,50667.5,4.599999999999994,4617.4,18639.2,27410.899999999998,9.113139586519958,36.78728968273548,54.09957073074455,20203.3,35895.0,25462.0,100.2,0.5589337264295805,5.0,3360.51
广东省,137905.4,4.799999999999997,5555.2,52679.5,79670.69999999998,4.028268653729296,38.19973692110679,57.77199442516391,47494.9,49327.0,34331.0,100.4,1.5979697696469404,-3.1,13850.78
广西壮族自治区,27501.7,4.099999999999994,4466.8,8979.8,14055.100000000002,16.241905045869892,32.65179970692721,51.1062952472029,8651.6,29514.0,19749.0,99.8,0.823529411764706,2.5,1783.8
海南省,7590.2,9.200000000000005,1506.9,1403.4,4679.9,19.853231798898584,18.489631366762403,61.65713683433901,2511.3,33192.0,23752.0,100.3,1.9886363636363635,-15.5,900.71
重庆市,30614.3,6.099999999999994,2033.7,11199.1,17381.5,6.642974035009782,36.58127084401734,56.77575512097288,15130.3,37595.0,26515.0,99.7,0.3597122302158274,1.1,2440.77
四川省,61353.4,6.0,5455.6,21879.1,34018.700000000004,8.892090739877496,35.66077837577053,55.44713088435197,26313.4,32514.0,23550.0,100.0,1.7294124992195787,4.3,5529.09
贵州省,21513.7,4.900000000000006,2883.3,6638.5,11991.900000000001,13.402157694864202,30.857081766502276,55.74076053863352,9011.2,27098.0,20161.0,99.7,1.3870714472651138,2.4,2078.37
云南省,30595.8,4.400000000000006,4191.4,10021.4,16383.000000000002,13.699265912314761,32.75416887285183,53.54656521483342,11560.7,28421.0,20995.0,100.3,1.3852006028852366,-5.7,2149.44
西藏自治区,2532.9,9.5,218.7,858.7,1455.5000000000002,8.634371668838089,33.90185163251609,57.46377669864583,879.8,28983.0,17220.0,99.9,0.3595274781715459,-10.6,236.62
陕西省,33976.5,4.299999999999997,2649.1,13937.3,17390.100000000002,7.796859594131238,41.02041116654158,51.18272923932719,10759.0,32128.0,22012.0,100.1,0.9265858873841768,35.1,3437.6
甘肃省,12345.7,6.400000000000006,1636.6,4148.6,6560.5,13.256437464056308,33.60360287387512,53.13995966206857,4329.7,25011.0,19013.0,100.5,1.5338570894126449,0.2,1003.58
青海省,3849.2,5.299999999999997,387.3,1636.5,1825.3999999999996,10.06183102982438,42.515327860334615,47.422841109840995,987.7,28587.0,20327.0,100.5,0.9864815491413956,5.9,381.34
宁夏回族自治区,5368.8,6.599999999999994,428.0,2329.0,2611.8,7.97198629116376,43.380271196542985,48.64774251229325,1354.9,31604.0,21629.0,100.4,4.721989382509081,-7.5,502.31
新疆维吾尔自治区,19603.3,6.799999999999997,2739.6,7559.7,9304.0,13.97519805338897,38.56340514097116,47.461396805639865,3849.7,28947.0,19715.0,100.0,1.3012870653487878,5.5,2179.69
