province,year,gdp,gdp_growth,retail,income,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2024,49670.2,5.099999999999994,14092.4,85415.0,100.1,2.434767431713064,3.2,6372.68
天津市,2024,17931.3,4.900000000000006,4128.3,53581.0,100.2,1.8879603837821106,5.1,2134.2
河北省,2024,47448.1,5.400000000000006,14657.4,34665.0,100.2,0.27868988162578295,3.1,4310.85
山西省,2024,25353.5,2.200000000000003,7670.9,32441.0,100.1,0.26682478505781204,6.8,3542.24
内蒙古自治区,2024,26337.0,5.799999999999997,5152.9,40077.0,100.2,0.33277870216306155,3.2,3150.57
辽宁省,2024,32540.8,5.099999999999994,10228.9,39844.0,100.2,1.1392344725678059,13.6,2906.94
吉林省,2024,14305.0,4.200000000000003,4232.1,31318.0,100.0,0.3861003861003861,5.3,1191.39
黑龙江省,2024,16478.1,3.200000000000003,5445.7,31269.0,100.5,0.3740743568211314,0.7,1452.34
上海市,2024,53759.5,4.900000000000006,15872.3,88366.0,100.0,2.528398680835471,6.0,8374.17
江苏省,2024,136696.9,5.700000000000003,44922.1,55415.0,100.5,0.9813035843404607,4.8,10038.16
浙江省,2024,90007.0,5.5,37707.7,67013.0,100.3,0.984102952308857,1.5,8707.57
安徽省,2024,50646.7,5.799999999999997,22908.4,36782.0,100.5,0.3519577650681918,0.4,4041.64
福建省,2024,57476.6,5.400000000000006,24370.8,47857.0,99.9,0.5214050493962679,4.7,3615.29
江西省,2024,34227.9,5.099999999999994,12821.7,36007.0,100.5,0.24054826850633138,3.9,3066.92
山东省,2024,98406.9,5.599999999999994,40059.2,42077.0,100.2,0.6040431619695921,4.8,7711.74
河南省,2024,63557.1,5.099999999999994,27560.4,31552.0,100.3,0.2576676917961932,3.3,4392.67
湖北省,2024,59644.3,5.599999999999994,27206.2,36947.0,100.4,0.4742274432011902,7.0,3937.88
湖南省,2024,53084.7,4.700000000000003,20463.9,37679.0,100.5,0.4079598891345645,6.5,3449.27
广东省,2024,141488.9,3.5,45029.2,51474.0,100.0,0.7840602517985611,2.8,13533.98
广西壮族自治区,2024,28694.1,4.200000000000003,8151.7,31125.0,100.2,0.46101423130887953,-4.5,1837.32
海南省,2024,7972.7,3.799999999999997,2546.1,34829.0,100.0,0.8636200071968334,-3.2,890.51
重庆市,2024,32046.7,5.599999999999994,16190.4,39713.0,100.2,0.8467959882289352,7.1,2595.55
四川省,2024,64537.9,5.599999999999994,27709.8,34325.0,100.0,0.6307803776158206,0.1,5635.6
贵州省,2024,22645.7,5.299999999999997,9211.5,28561.0,100.1,0.3678234447465217,2.4,2170.0
云南省,2024,31423.4,3.200000000000003,12490.8,29932.0,100.2,0.29833155316562926,0.6,2193.68
西藏自治区,2024,2789.1,6.5,1032.8,31358.0,100.0,0.10245901639344263,-7.7,277.19
陕西省,2024,35437.1,5.200000000000003,10936.0,33905.0,100.1,0.2846254040233489,19.6,3393.28
甘肃省,2024,13020.5,5.799999999999997,4133.2,26612.0,100.4,0.15396458814472672,5.2,1051.89
青海省,2024,3965.5,2.799999999999997,1028.3,30117.0,100.5,0.2614867388868136,3.2,370.45
宁夏回族自治区,2024,5520.2,5.5,1418.8,33355.0,99.7,0.7678676904902539,4.3,516.59
新疆维吾尔自治区,2024,20492.4,6.099999999999994,3965.0,30899.0,100.4,0.5291762013729977,7.9,2409.69
