province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2019,37767.0,6.400000000000006,114.4,5812.9,31839.7,0.3029099478380597,15.391479333809938,84.305610718352,15072.4,67756.0,43038.0,102.3,0.926505571553775,-3.2,5817.1
天津市,2019,14097.2,4.799999999999997,185.4,5016.9,8894.9,1.3151547825100018,35.58791816814686,63.09692704934312,4312.5,42404.0,31854.0,102.7,8.832487309644671,13.4,2410.41
河北省,2019,35623.5,6.900000000000006,3518.4,13600.9,18504.2,9.876626384268812,38.17957247322694,51.94380114250424,12784.8,25665.0,17987.0,103.0,5.88235294117647,5.7,3738.99
山西省,2019,17311.0,6.299999999999997,825.3,7402.9,9082.7,4.767488879902952,42.764138409104035,52.4677950436139,6942.8,23828.0,15863.0,102.7,4.6064013840830444,16.9,2347.75
内蒙古自治区,2019,17479.4,5.400000000000006,1863.3,6774.0,8842.2,10.659976887078502,38.75419064727622,50.5864045676625,4966.6,30555.0,20743.0,102.4,9.093851132686085,10.4,2059.69
辽宁省,2019,25665.9,5.599999999999994,2178.0,9510.3,13977.6,8.485967762673429,37.05422369759096,54.4598085397356,9572.9,31820.0,22203.0,102.4,8.359303391384051,-2.7,2652.4
吉林省,2019,11949.4,3.0999999999999943,1287.3,4162.0,6500.1,10.772925837280532,34.83020067953203,54.39687348318745,4201.6,24563.0,18075.0,103.0,7.934926958831341,-13.1,1116.95
黑龙江省,2019,13962.5,4.099999999999994,3183.2,3668.0,7111.3,22.798209489704565,26.270367054610567,50.93142345568488,5546.9,24254.0,18111.0,102.8,9.029404111371326,4.1,1262.76
上海市,2019,40241.2,6.299999999999997,107.1,10317.1,29817.1,0.26614514477699475,25.638151943779015,74.09595141297973,15469.0,69442.0,45605.0,102.5,2.6244220832200167,5.9,7165.1
江苏省,2019,99836.9,6.0,4297.2,44281.4,51258.3,4.304220183118666,44.353740951491886,51.34203886538946,37240.6,41400.0,26697.0,103.1,2.5669153137340945,6.9,8802.36
浙江省,2019,64632.0,7.0,2086.7,26643.3,35902.0,3.2285864587201383,41.2230783512811,55.54833518999877,27948.8,49899.0,32026.0,102.9,3.366937457179211,7.4,7048.58
安徽省,2019,37584.8,7.400000000000006,2915.9,14895.9,19773.0,7.758189480853963,39.632777080096204,52.609033439049824,17689.2,26415.0,19137.0,102.7,4.4093451793353085,6.1,3182.71
福建省,2019,42479.1,7.5,2595.5,19578.6,20305.0,6.11006353712767,46.089959533040954,47.79997692983138,19108.9,35616.0,25314.0,102.6,2.5594149908592323,7.3,3052.93
江西省,2019,24724.0,7.900000000000006,2057.7,10385.3,12281.0,8.32268241384889,42.004934476621905,49.6723831095292,9849.3,26262.0,17650.0,102.9,5.73873121869783,-0.4,2487.39
山东省,2019,72024.3,5.400000000000006,5116.9,28464.9,38442.5,7.104407817917008,39.52124491317514,53.374347268907854,29577.3,31597.0,20427.0,103.2,3.9598638236875114,-8.4,6526.71
河南省,2019,53739.3,6.799999999999997,4635.7,22185.5,26918.2,8.626275370166711,41.28356714732049,50.09034356606803,23477.2,23903.0,16332.0,103.0,4.855514055435424,8.7,4041.89
湖北省,2019,45557.0,7.299999999999997,3809.4,18397.1,23350.6,8.36183242970345,40.382597624953355,51.25578945057839,23066.2,28319.0,21567.0,103.1,5.438241249638415,7.1,3388.57
湖南省,2019,39930.7,7.599999999999994,3647.2,14974.8,21308.8,9.133824350687567,37.50197216677895,53.364453916410184,16555.9,27680.0,20479.0,102.9,4.953806944886907,2.7,3007.15
广东省,2019,110468.1,6.299999999999997,4350.6,43528.6,62588.8,3.938331518329726,39.40377357807366,56.65780437972591,42438.4,39014.0,28995.0,103.4,1.7558886509635976,10.4,12654.53
广西壮族自治区,2019,21341.5,6.0,3389.7,6870.3,11081.5,15.88313848604831,32.19220767050114,51.92465384345055,8079.9,23328.0,16418.0,103.7,4.648419065596979,8.9,1811.89
海南省,2019,5442.1,5.900000000000006,1079.0,1095.6,3267.6,19.8269050550339,20.13193436357288,60.042998107348254,1974.0,26679.0,19555.0,103.4,5.194805194805195,-17.9,814.14
重庆市,2019,23689.6,6.299999999999997,1551.6,9059.8,13078.2,6.549709577198433,38.2437863028502,55.20650411995138,11710.5,28920.0,20774.0,102.7,4.465424853278898,-1.7,2134.93
四川省,2019,47168.6,7.400000000000006,4807.5,17202.7,25158.5,10.192161734713348,36.47066056656335,53.337389704167606,21395.4,24703.0,19338.0,103.2,6.005004170141786,10.0,4070.83
贵州省,2019,17251.8,8.400000000000006,2280.5,5836.6,9134.6,13.21891049049954,33.831832040714595,52.948677819126125,7449.4,20397.0,14780.0,102.4,4.548156956004757,-7.0,1767.47
云南省,2019,23902.1,8.299999999999997,3037.7,8152.1,12712.3,12.70892515720376,34.10620824111689,53.184866601679346,10260.9,22082.0,15780.0,102.5,5.86577868852459,18.2,2073.56
西藏自治区,2019,1750.3,8.299999999999997,138.2,638.8,973.4,7.895789293264012,36.49660058275724,55.613323430269105,787.8,19501.0,13029.0,102.3,4.477611940298508,-11.4,221.99
陕西省,2019,26214.5,6.099999999999994,1991.1,11590.2,12633.2,7.595414751378053,44.21293558908238,48.19164965953957,10154.2,24666.0,17465.0,102.9,4.532470005713198,1.3,2287.9
甘肃省,2019,9053.3,6.400000000000006,1059.3,2914.2,5079.8,11.700705819977246,32.18936741298753,56.10992676703523,3638.0,19139.0,15879.0,102.3,4.094010614101593,8.7,850.49
青海省,2019,3020.2,6.299999999999997,304.8,1172.0,1543.4,10.092046884312298,38.80537712734256,51.102575988345144,957.7,22618.0,17545.0,102.5,4.42225392296719,10.8,282.25
宁夏回族自治区,2019,3841.5,6.700000000000003,280.0,1588.0,1973.6,7.288819471560588,41.33801900299362,51.37576467525706,1399.1,24412.0,18297.0,102.1,6.790945406125166,-2.8,423.58
