province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2020,38503.6,1.4000000000000057,108.3,5899.8,32495.5,0.2812724005028101,15.322723070050595,84.3960045294466,13740.3,69434.0,38903.0,101.7,3.7716217973728705,3.4,5483.89
天津市,2020,14230.8,1.5,210.3,4966.6,9053.8,1.4777805885825113,34.900356972201145,63.62115973803299,3747.1,43854.0,28461.0,102.0,9.564293304994687,-5.1,1923.11
河北省,2020,36821.5,4.0,3880.4,13938.0,19003.1,10.53840826690928,37.85288486346292,51.608706869627795,12322.5,27136.0,18037.0,102.1,6.419876604969151,-1.1,3826.46
山西省,2020,18202.7,3.700000000000003,1166.6,7440.2,9595.9,6.408939333175846,40.874156031797476,52.716904635026665,6582.9,25214.0,15733.0,102.9,5.889857537741867,15.6,2296.57
内蒙古自治区,2020,17623.4,0.29999999999999716,2028.8,6789.7,8804.9,11.511967043816743,38.526618019224436,49.96141493695881,4605.1,31497.0,19794.0,101.9,9.98003992015968,5.6,2051.2
辽宁省,2020,25839.0,0.7999999999999972,2284.8,9294.3,14259.9,8.84244746313712,35.9700452803901,55.18750725647277,8785.9,32738.0,20672.0,102.4,9.611374407582938,5.4,2655.75
吉林省,2020,12499.5,2.4000000000000057,1553.0,4337.3,6609.1,12.424496979879194,34.69978799151966,52.87491499659986,3805.7,25751.0,17318.0,102.3,7.399425287356322,9.5,1085.02
黑龙江省,2020,14000.1,1.0,3445.1,3454.7,7100.3,24.607681373704473,24.67625231248348,50.71606631381205,4992.2,24902.0,17056.0,102.3,8.92343120322395,1.3,1152.51
上海市,2020,41603.9,2.0,107.7,10356.7,31139.5,0.25886996171032045,24.89357968844267,74.847550349847,15189.2,72232.0,42536.0,101.7,2.9610701938974895,1.8,7046.3
江苏省,2020,104566.6,3.799999999999997,4537.6,45391.4,54637.6,4.3394353455118555,43.40908091111311,52.251483743375026,36261.8,43390.0,26225.0,102.5,2.6609628770301623,22.7,9058.99
浙江省,2020,67164.5,3.799999999999997,2166.3,26638.2,38360.0,3.2253645899247374,39.66113050793202,57.11350490214324,27837.7,52397.0,31295.0,102.3,3.942316696319881,20.7,7248.24
安徽省,2020,38628.8,3.700000000000003,3184.9,15286.7,20157.2,8.244884645652984,39.57332353062999,52.18179182371701,17991.2,28103.0,18877.0,102.7,5.0369375419744795,6.4,3216.01
福建省,2020,43682.0,3.200000000000003,2730.8,19509.7,21441.6,6.2515452589167175,44.663019092532394,49.08566457579781,19058.1,37202.0,25126.0,102.2,5.5642144638404,4.8,3079.04
江西省,2020,25825.4,3.799999999999997,2243.8,10631.7,12949.9,8.688345582256227,41.167610182223704,50.14404423552007,9931.7,28017.0,17955.0,102.6,6.2110511009555465,15.9,2507.54
山东省,2020,74355.9,3.5999999999999943,5364.4,29008.0,39983.5,7.214491385350725,39.01237158046638,53.7731370341829,29921.2,32886.0,20940.0,102.8,4.078602620087336,5.8,6559.93
河南省,2020,54160.6,1.0999999999999943,5354.0,21416.6,27390.0,9.885414858771876,39.54276725147062,50.5718178897575,22518.1,24810.0,16143.0,102.8,6.055885502872165,6.5,4168.84
湖北省,2020,43017.6,-5.400000000000006,4133.2,16359.6,22524.7,9.608160380867366,38.03001562151306,52.36159153462769,18544.3,27881.0,19246.0,102.7,8.055353241077931,-16.6,2511.54
湖南省,2020,41693.7,3.799999999999997,4240.7,15577.3,21875.6,10.171081002645483,37.36128000153501,52.46739915143055,16019.1,29380.0,20998.0,102.3,4.934779192204934,30.9,3008.66
广东省,2020,113708.9,2.4000000000000057,4732.7,43756.4,65219.7,4.162119236049245,38.481068764186446,57.35672405590064,39278.2,41029.0,28492.0,102.6,3.422563912560207,14.8,12923.85
广西壮族自治区,2020,22250.7,3.700000000000003,3645.9,7067.6,11537.2,16.385551915220645,31.763495081053627,51.85095300372573,7606.1,24562.0,16357.0,102.8,5.285021924763444,5.1,1716.94
海南省,2020,5640.8,3.5999999999999943,1136.0,1074.6,3430.2,20.138987377676926,19.050489292298963,60.810523330024104,2022.4,27904.0,18972.0,102.3,6.786941580756014,20.1,816.06
重庆市,2020,25158.1,3.9000000000000057,1803.5,9646.0,13708.5,7.168665360261706,38.341528175816144,54.489408977625494,11954.4,30824.0,21678.0,102.3,7.392607392607392,2.7,2094.85
四川省,2020,49445.1,3.799999999999997,5556.9,17594.8,26293.4,11.23852515213843,35.58451696932558,53.176957878536,20939.4,26522.0,19783.0,103.2,5.937568216546605,-0.1,4260.89
贵州省,2020,18308.3,4.599999999999994,2539.9,5881.1,9887.2,13.87294287290464,32.122589208173345,54.003921718564804,7798.6,21795.0,14874.0,102.6,5.4960541149943625,1.1,1786.8
云南省,2020,25214.5,4.099999999999994,3611.8,8427.8,13175.0,14.324297527216483,33.42441848936128,52.2516805806183,9997.8,23295.0,16792.0,103.6,8.177390412714688,5.3,2116.69
西藏自治区,2020,1956.5,8.099999999999994,150.3,708.0,1098.2,7.682085356503962,36.18706874520828,56.13084589828776,774.2,21744.0,13225.0,102.2,4.794520547945205,-14.9,220.99
陕西省,2020,26297.0,2.0999999999999943,2267.7,10721.1,13308.2,8.623417119823554,40.76928927254059,50.60729360763585,9501.1,26226.0,17418.0,102.5,4.765609803540167,-0.5,2257.31
甘肃省,2020,9323.1,4.0,1188.1,2891.9,5243.1,12.743615321084187,31.018652594094238,56.23773208482158,3513.2,20335.0,16175.0,102.0,4.446064139941691,13.2,874.55
青海省,2020,3080.6,1.7000000000000028,341.1,1157.5,1582.0,11.072518340583004,37.573849250146075,51.35363240927092,895.0,24037.0,18284.0,102.6,4.460431654676259,-10.9,297.99
宁夏回族自治区,2020,4036.2,4.099999999999994,338.1,1604.8,2093.3,8.376690946930282,39.760170457360886,51.86313859570885,1301.6,25735.0,17506.0,101.5,7.49665327978581,19.8,419.44
新疆维吾尔自治区,2020,14262.2,3.5999999999999943,1981.3,4798.5,7482.4,13.891966176326232,33.64487947161027,52.46315435206349,3078.3,23845.0,16512.0,101.5,2.82791817087846,20.6,1477.22
