province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
安徽省,2022,45525.1,3.299999999999997,3516.5,17697.0,24311.6,7.724310325512739,38.87306123435204,53.402628440135224,20685.9,32745.0,22542.0,102.0,3.009920968555574,2.9,3589.14
福建省,2022,52099.6,4.200000000000003,3077.5,22470.0,26552.1,5.906955139770747,43.12892997259096,50.96411488763829,21999.4,43118.0,30042.0,101.9,4.817021276595745,2.8,3339.21
江西省,2022,31568.1,4.299999999999997,2466.4,12832.9,16268.8,7.812950415134266,40.65148045020131,51.53556913466443,11765.8,32419.0,21708.0,102.0,6.1237645036527715,11.0,2948.33
山东省,2022,89519.4,4.0,6296.2,36037.2,47186.0,7.033335790901191,40.256301985938244,52.710362223160566,34724.3,37560.0,22640.0,101.7,1.851347672202559,1.0,7104.1
河南省,2022,58807.4,2.4000000000000057,5731.0,22122.5,30953.9,9.745372181052044,37.618565010525884,52.63606280842207,24399.0,28222.0,19019.0,101.5,5.880452342487883,5.1,4250.35
湖北省,2022,53445.4,4.0,4981.9,19948.5,28515.0,9.321475749082241,37.325008326254455,53.3535159246633,23524.9,32914.0,24828.0,102.1,7.409551374819102,11.2,3281.13
湖南省,2022,47957.9,4.200000000000003,4601.2,17519.8,25836.8,9.59424828860313,36.53162461242048,53.87391858275695,18463.0,34036.0,24083.0,101.8,4.112483745123537,11.0,3101.76
广东省,2022,132547.1,2.0999999999999943,5350.0,51341.4,75855.7,4.036301058265326,38.734457411742696,57.22924152999198,42762.9,47065.0,32169.0,102.2,2.5418533364772458,-11.5,13260.88
广西壮族自治区,2022,26419.7,2.799999999999997,4270.4,8867.3,13282.0,16.163696029856506,33.56321229991256,50.273091670230926,8042.0,27981.0,18343.0,101.9,5.446727185857621,-1.8,1687.72
海南省,2022,6912.8,0.4000000000000057,1417.8,1281.4,4213.6,20.50977896076843,18.536627705126723,60.95359333410485,2375.4,30957.0,21500.0,101.6,9.075770191507077,-17.0,832.43
重庆市,2022,28771.8,2.5,2012.6,10477.4,16281.8,6.9950437581242735,36.41551797245914,56.58943826941658,14299.6,35666.0,25371.0,102.1,5.965676927267775,-9.9,2103.42
四川省,2022,57609.4,2.9000000000000057,5965.5,20314.0,31330.0,10.355080941651883,35.261606612809715,54.38348602832177,24328.9,30679.0,22302.0,102.0,5.530546623794212,10.3,4880.55
贵州省,2022,20579.5,1.2000000000000028,2862.2,6360.7,11356.7,13.908015257902282,30.907942369834057,55.18452829271848,8417.4,25508.0,17939.0,101.6,9.133814547473627,-1.8,1886.41
云南省,2022,29301.1,4.299999999999997,4001.9,9985.8,15313.4,13.657849022732934,34.079949216923595,52.26220176034347,11277.9,26937.0,18951.0,101.6,8.380608561113977,11.7,1949.46
西藏自治区,2022,2235.4,1.4000000000000057,186.2,770.2,1279.0,8.329605439742327,34.45468372550774,57.215710834749935,781.6,26675.0,15886.0,101.5,4.054054054054054,-2.0,179.63
陕西省,2022,33035.6,4.5,2574.9,14264.7,16196.0,7.79431885602199,43.17978181113708,49.025899332840936,10158.5,30116.0,19848.0,102.1,4.804198627371821,4.5,3311.57
甘肃省,2022,11553.6,4.599999999999994,1499.7,3981.5,6072.4,12.980369754881597,34.46112034344274,52.55850990167566,3662.8,23273.0,17489.0,101.9,4.946474713916575,14.1,907.65
青海省,2022,3677.4,2.5,382.6,1618.7,1676.1,10.40408984608691,44.01751237287213,45.57839778104095,874.8,27000.0,17261.0,102.4,3.0927835051546397,-6.3,329.1
宁夏回族自治区,2022,5168.1,4.299999999999997,407.5,2318.6,2441.9,7.884909347729339,44.86368297827054,47.249472726920914,1336.6,29599.0,19136.0,102.3,13.276492082825822,4.2,460.15
新疆维吾尔自治区,2022,18550.5,3.5999999999999943,2653.8,7312.7,8584.0,14.305813859464706,39.42050079512682,46.27368534540848,3268.2,27063.0,17927.0,101.8,2.700214789812826,10.3,1889.76
