province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2022,45222.4,1.0,111.5,6960.4,38150.6,0.24655922728559296,15.391487404472118,84.36217449759411,13818.7,77415.0,42683.0,101.8,4.645820038289726,-7.1,5714.36
天津市,2022,16588.5,1.2000000000000028,273.2,6092.7,10222.7,1.646924073906622,36.728456460801155,61.625222292552074,3900.1,48976.0,31324.0,101.9,9.45292147376256,-22.1,1846.69
河北省,2022,43198.3,3.799999999999997,4408.4,16406.7,22383.3,10.205031216506203,37.97996680424924,51.81523346983561,12884.3,30867.0,20890.0,101.8,3.5247592847317746,4.1,4056.3
山西省,2022,25653.2,4.400000000000006,1335.3,12667.1,11650.9,5.205198571718148,49.37824520917468,45.41694603402304,7188.5,29178.0,17537.0,102.1,4.343081623745089,4.4,3453.99
内蒙古自治区,2022,23795.7,4.5,2655.1,10916.8,10223.9,11.157898275738894,45.877196300171875,42.96532566808289,4644.3,35921.0,22298.0,101.8,9.847198641765704,16.2,2824.39
辽宁省,2022,29739.7,2.200000000000003,2598.0,10924.1,16217.5,8.7357976038763,36.7323812950366,54.53148485021705,9142.2,36089.0,22604.0,102.0,9.853718000812679,-5.0,2525.07
吉林省,2022,13121.4,-1.9000000000000057,1689.1,4274.9,7157.4,12.872864176078771,32.57960278628805,54.54753303763318,3765.1,27975.0,17898.0,102.1,7.483772432226041,-5.3,851.0
黑龙江省,2022,16359.2,2.799999999999997,3635.3,4549.5,8174.4,22.221746784683848,27.81003961073891,49.96821360457724,4998.7,28346.0,20412.0,101.9,6.3502043382584095,0.5,1290.66
上海市,2022,48594.5,0.20000000000000284,100.0,11386.4,37108.1,0.20578460525368097,23.43145829260513,76.36275710214119,14918.2,79610.0,46045.0,102.5,2.12549133789489,-1.8,7608.0
江苏省,2022,124564.2,2.700000000000003,4963.9,55343.4,64256.9,3.985013350545341,44.42961942516389,51.58536722429077,40803.0,49862.0,32848.0,102.2,4.673452708224978,-5.7,9258.88
浙江省,2022,80770.0,3.4000000000000057,2185.2,32873.3,45711.5,2.7054599480004953,40.69988857248979,56.594651479509714,33236.8,60302.0,38971.0,102.2,3.4489152605229,-4.8,8039.85
